team,offensive_epa,defensive_epa,net_epa,offensive_dvoa,defensive_dvoa,total_dvoa,overall_rating,data_confidence
SEA,0.002941176470588235,0.017647058823529415,-0.01470588235294118,-0.02136452921384325,0.05202283760669494,-0.02641498285712185,-0.012042141915960085,1.0
HOU,0.0,0.028947368421052635,-0.028947368421052635,-0.023456987037265984,0.061920196424588424,-0.02870086751029864,-0.017294470779405383,1.0
CLE,-0.34117647058823536,-0.17941176470588238,-0.16176470588235298,-0.2822175759656389,-0.12057083054643397,-0.3034847761256087,-0.17369249166121203,1.0
ATL,0.04411764705882353,-0.14411764705882354,0.18823529411764708,0.007698851847765386,-0.08965853177273919,0.00544878520756755,0.06251698850344674,1.0
ARI,0.07647058823529414,-0.014705882352941171,0.0911764705882353,0.03023594011180423,0.02368656373080821,0.03030554771634561,0.04409166431490369,1.0
TEN,-0.18529411764705883,-0.2529411764705882,0.0676470588235294,-0.15990726299624847,-0.18497145299163126,-0.1754868605104471,-0.050881352270781194,1.0
CHI,-0.18823529411764706,0.011764705882352941,-0.2,-0.16214917777769705,0.04687078781107917,-0.17786241933843938,-0.13218225521329652,1.0
DEN,0.09999999999999999,0.15,-0.05,0.04646443545161851,0.16794395800805023,0.04828592459321941,0.009485777377965826,1.0
KC,0.05499999999999999,0.07750000000000001,-0.02250000000000002,0.015308547375616965,0.10444494427708567,0.0138271193730342,0.0028981358119102548,1.0
LV,-0.1911764705882353,-0.17647058823529416,-0.014705882352941152,-0.16439355349743495,-0.11799480564862608,-0.18023945472940528,-0.07760124818352745,1.0
WAS,0.33999999999999997,-0.14250000000000002,0.4825,0.2045889426760566,-0.08824171807894489,0.22724208159233195,0.24692262447769958,1.0
PIT,-0.005555555555555554,0.058333333333333334,-0.06388888888888888,-0.02741546436253851,0.08765784869303758,-0.03302228382825034,-0.029628907370697323,1.0
NYG,-0.29705882352941176,-0.12058823529411766,-0.1764705882352941,-0.24686493632775805,-0.06905033259027596,-0.2668170429560328,-0.16269217171033926,1.0
NO,-0.10588235294117648,-0.07058823529411765,-0.03529411764705884,-0.10029122439133992,-0.02525790932754176,-0.11189616845117667,-0.054745321123588306,1.0
LAC,0.049999999999999996,0.17500000000000004,-0.12500000000000006,0.011815873414715922,0.18984016963941733,0.00997981806598418,-0.029506054580204763,1.0
SF,0.04411764705882354,-0.1823529411764706,0.22647058823529415,0.007698851847765386,-0.12314685544424185,0.00544878520756755,0.07398757673874086,1.0
NE,-0.25,-0.12647058823529414,-0.12352941176470586,-0.20980417433075513,-0.07420238238589189,-0.22809402641186052,-0.13048703145296991,1.0
IND,0.008823529411764704,-0.15588235294117644,0.16470588235294115,-0.01718625629024692,-0.09996263136397074,-0.021847199184717742,0.043739957891643484,1.0
NYJ,-0.10588235294117646,-0.08823529411764705,-0.017647058823529405,-0.10029122439133992,-0.040714058714389226,-0.11189616845117667,-0.049451203476529475,1.0
CIN,0.2882352941176471,-0.17647058823529416,0.46470588235294125,0.1715832730740455,-0.11799480564862608,0.1893034645505577,0.2250263334828144,1.0
GB,0.20555555555555555,0.1,0.10555555555555554,0.11763445477066149,0.12415153474531603,0.12796820471762071,0.09061268363750843,1.0
TB,0.35,-0.03333333333333335,0.3833333333333333,0.21089828918607123,0.007371739378024782,0.23453108335935943,0.2203593250078078,1.0
MIN,0.125,0.10277777777777776,0.02222222222222224,0.06355976121431933,0.12658444714880132,0.06730160470338675,0.0393571480776827,1.0
MIA,-0.08529411764705884,0.029411764705882353,-0.11470588235294119,-0.08511804771974014,0.06232693719792664,-0.09557939273435473,-0.07161499429089466,1.0
DET,0.5527777777777777,0.024999999999999998,0.5277777777777777,0.3343771111665446,0.05846289985121473,0.37965941872941233,0.32750893672993475,1.0
PHI,0.34761904761904766,0.19523809523809527,0.1523809523809524,0.2093980045294711,0.20756567429338119,0.23279677116991873,0.1503152218271661,1.0
BUF,0.43,0.02,0.41,0.2606134075057854,0.05408365752494125,0.29238730523933787,0.25371619157180136,1.0
LA,-0.005263157894736841,-0.013157894736842105,0.007894736842105263,-0.027206925689968367,0.025042366308601776,-0.032794722207719396,-0.007996311399157923,1.0
JAX,-0.15882352941176472,-0.17941176470588235,0.02058823529411763,-0.13984010761205384,-0.12057083054643397,-0.15417287764782187,-0.05595774564728774,1.0
BAL,0.4026315789473685,0.04210526315789475,0.36052631578947375,0.24375598232841103,0.07344451833583429,0.2726846143027567,0.23022643692240602,1.0
DAL,-0.07058823529411763,-0.27647058823529413,0.20588235294117652,-0.07434987425944908,-0.2055796521740945,-0.08396643886256426,0.02951595069417191,1.0
CAR,-0.09705882352941175,-0.47058823529411775,0.373529411764706,-0.09377440463733334,-0.37559729542941533,-0.10489484672140326,0.07088448716004964,1.0
