team,offensive_dvoa,defensive_dvoa,total_dvoa,yards_per_play,points_per_game,points_allowed_per_game,games_played
KC,0.015308547375616965,0.10444494427708567,0.0138271193730342,6.181980374665478,23.1,20.45,20
BAL,0.24375598232841103,0.07344451833583429,0.2726846143027567,7.572944297082228,30.05263157894737,21.157894736842106,19
PHI,0.2093980045294711,0.20756567429338119,0.23279677116991873,7.363746467501009,28.952380952380953,18.095238095238095,21
GB,0.11763445477066149,0.12415153474531603,0.12796820471762071,6.805019305019305,26.11111111111111,20.0,18
ATL,0.007698851847765386,-0.08965853177273919,0.00544878520756755,6.135646687697161,22.88235294117647,24.88235294117647,17
PIT,-0.02741546436253851,0.08765784869303758,-0.03302228382825034,5.921843687374749,21.88888888888889,20.833333333333332,18
BUF,0.2606134075057854,0.05408365752494125,0.29238730523933787,7.6755852842809364,30.6,21.6,20
ARI,0.03023594011180423,0.02368656373080821,0.03030554771634561,6.2728698379508625,23.529411764705884,22.294117647058822,17
CHI,-0.16214917777769705,0.04687078781107917,-0.17786241933843938,5.101481075150851,18.235294117647058,21.764705882352942,17
TEN,-0.15990726299624847,-0.18497145299163126,-0.1754868605104471,5.115131578947368,18.294117647058822,27.058823529411764,17
CIN,0.1715832730740455,-0.11799480564862608,0.1893034645505577,7.133501259445844,27.764705882352942,25.529411764705884,17
NE,-0.20980417433075513,-0.07420238238589189,-0.22809402641186052,4.811320754716981,17.0,24.529411764705884,17
IND,-0.01718625629024692,-0.09996263136397074,-0.021847199184717742,5.984126984126984,22.176470588235293,25.11764705882353,17
HOU,-0.023456987037265984,0.061920196424588424,-0.02870086751029864,5.945945945945946,22.0,21.42105263157895,19
MIA,-0.08511804771974014,0.06232693719792664,-0.09557939273435473,5.5705059203444565,20.294117647058822,21.41176470588235,17
JAX,-0.13984010761205384,-0.12057083054643397,-0.15417287764782187,5.237315875613748,18.823529411764707,25.58823529411765,17
NO,-0.10029122439133992,-0.02525790932754176,-0.11189616845117667,5.478119935170178,19.88235294117647,23.41176470588235,17
CAR,-0.09377440463733334,-0.37559729542941533,-0.10489484672140326,5.517799352750809,20.058823529411764,31.41176470588235,17
NYG,-0.24686493632775805,-0.06905033259027596,-0.2668170429560328,4.585666293393057,16.058823529411764,24.41176470588235,17
MIN,0.06355976121431933,0.12658444714880132,0.06730160470338675,6.475770925110132,24.5,19.944444444444443,18
LAC,0.011815873414715922,0.18984016963941733,0.00997981806598418,6.160714285714286,23.0,18.5,18
LV,-0.16439355349743495,-0.11799480564862608,-0.18023945472940528,5.08781558726674,18.176470588235293,25.529411764705884,17
SEA,-0.02136452921384325,0.05202283760669494,-0.02641498285712185,5.958686440677966,22.058823529411764,21.647058823529413,17
DEN,0.04646443545161851,0.16794395800805023,0.04828592459321941,6.371681415929204,24.0,19.0,18
CLE,-0.2822175759656389,-0.12057083054643397,-0.3034847761256087,4.370412196499153,15.176470588235293,25.58823529411765,17
DAL,-0.07434987425944908,-0.2055796521740945,-0.08396643886256426,5.636070853462158,20.58823529411765,27.529411764705884,17
TB,0.21089828918607123,0.007371739378024782,0.23453108335935943,7.372881355932203,29.0,22.666666666666668,18
WAS,0.2045889426760566,-0.08824171807894489,0.22724208159233195,7.33446519524618,28.8,24.85,20
DET,0.3343771111665446,0.05846289985121473,0.37965941872941233,8.124715521165225,33.05555555555556,21.5,18
LA,-0.027206925689968367,0.025042366308601776,-0.032794722207719396,5.923113431419079,21.894736842105264,22.263157894736842,19
SF,0.007698851847765386,-0.12314685544424185,0.00544878520756755,6.135646687697161,22.88235294117647,25.647058823529413,17
NYJ,-0.10029122439133992,-0.040714058714389226,-0.11189616845117667,5.478119935170178,19.88235294117647,23.764705882352942,17
