player_name,position,recent_team,targets,receptions,receiving_yards,receiving_tds,avg_depth_per_target,yac_per_reception,catch_rate,target_share,air_yards_share,wopr,yards_per_target,tds_per_target
A.Abdullah,RB,LV,47,40,261.0,3,0.19175824175824177,6.067399267399267,0.8474358974358975,0.0999065093076923,0.00962890246153846,0.1565999949230769,5.553191489361702,0.06382978723404255
A.Barner,TE,SEA,38,30,245.0,4,4.110204081632653,5.522619047619047,0.8681972789115646,0.08540758014285714,0.053460181499999995,0.16553349107142856,6.447368421052632,0.10526315789473684
A.Brown,WR,PHI,120,79,1242.0,9,12.916325014854426,4.455392156862745,0.6682009167303286,0.3216805505882353,0.5164889229411764,0.8440630652941177,10.35,0.075
A.Cooper,WR,BUF,40,26,338.0,2,9.762619047619047,3.0092592592592595,0.6561904761904762,0.132457892,0.1582666076,0.309473465,8.45,0.05
A.Cooper,WR,CLE,53,24,250.0,2,12.774537037037037,2.4464285714285716,0.45787037037037037,0.2770993583333333,0.4884196566666667,0.7575428166666667,4.716981132075472,0.03773584905660377
A.Ekeler,RB,WAS,56,47,450.0,0,-1.0156613756613757,10.517222222222221,0.849100529100529,0.12479609966666666,-0.018113774446666668,0.17451450533333332,8.035714285714286,0.0
A.Gibson,RB,NE,29,23,206.0,0,-0.12179487179487183,9.666666666666666,0.8205128205128205,0.07675144384615384,0.013766647446153846,0.12476382038461538,7.103448275862069,0.0
A.Hooper,TE,NE,59,45,476.0,3,5.93235294117647,5.857843137254902,0.7852941176470588,0.12186068729411766,0.10795708311764707,0.2583609914705883,8.067796610169491,0.05084745762711865
A.Iosivas,WR,CIN,61,36,479.0,6,13.549579831932775,1.9122222222222223,0.5792717086834734,0.09934527535294117,0.16695961029411766,0.2658896388235294,7.852459016393443,0.09836065573770492
A.Jones,RB,MIN,68,54,420.0,2,1.762962962962963,7.507407407407407,0.8351851851851851,0.1232983198888889,0.005144828727777777,0.18854886111111113,6.176470588235294,0.029411764705882353
A.Kamara,RB,NO,89,68,543.0,2,1.044088847660276,9.1406462585034,0.7991934652648939,0.21274500214285716,0.023915979142857143,0.33585868785714285,6.101123595505618,0.02247191011235955
A.Lazard,WR,NYJ,61,37,530.0,6,11.70978835978836,3.963636363636364,0.6485119047619047,0.14218268833333333,0.24494733416666667,0.38473715999999997,8.688524590163935,0.09836065573770492
A.Mattison,RB,LV,48,36,294.0,1,-0.29563492063492064,9.0,0.7115079365079365,0.11766584533333334,-0.004504525775,0.17334559725,6.125,0.020833333333333332
A.Mitchell,WR,IND,55,23,312.0,0,16.676190476190477,5.368055555555556,0.3983193277310924,0.11211458764705882,0.1603151468235294,0.2803924803529412,5.672727272727273,0.0
A.Pierce,WR,IND,69,37,824.0,7,23.42534722222222,3.3726190476190476,0.5584821428571428,0.1481205179375,0.292123861875,0.426667478125,11.942028985507246,0.10144927536231885
A.St. Brown,WR,DET,151,123,1400.0,12,7.28786075036075,3.5538780663780667,0.8403218694885362,0.2666787261111111,0.30568273166666665,0.6139959994444444,9.271523178807946,0.07947019867549669
A.Thielen,WR,CAR,62,48,615.0,5,10.917532467532467,3.5852777777777773,0.7599134199134199,0.2040313791,0.2622008885,0.48958769599999996,9.919354838709678,0.08064516129032258
A.Trautman,TE,DEN,23,14,190.0,2,4.601190476190476,7.35,0.630952380952381,0.05186763564285714,0.03545211027142857,0.10261792785714285,8.26086956521739,0.08695652173913043
B.Aiyuk,WR,SF,47,25,374.0,0,12.247619047619049,3.9285714285714284,0.5142857142857143,0.22194860999999996,0.27536270142857144,0.5256767928571429,7.957446808510638,0.0
B.Allen,RB,NYJ,27,19,148.0,1,-0.5743589743589743,8.916666666666666,0.7282051282051282,0.05851024169230769,-0.0014468680538461541,0.08675255361538461,5.481481481481482,0.037037037037037035
B.Bowers,TE,LV,153,112,1194.0,5,6.312637362637362,5.519206773618539,0.7288237089707678,0.2553617825882353,0.23186088435294117,0.5453452911764706,7.803921568627451,0.032679738562091505
B.Cooks,WR,DAL,54,26,259.0,3,11.218174603174603,2.316666666666667,0.5349999999999999,0.1657721596,0.2467279476,0.421367795,4.796296296296297,0.05555555555555555
B.Hall,RB,NYJ,76,57,483.0,3,0.2655753968253968,8.748095238095237,0.7140625,0.1412967524375,0.0018117698312500007,0.2132133620625,6.355263157894737,0.039473684210526314
B.Irving,RB,TB,54,49,398.0,1,-3.1298319327731092,10.631652661064425,0.9156862745098039,0.09816662435294118,-0.04983212138235294,0.11236745070588236,7.37037037037037,0.018518518518518517
B.Melton,WR,GB,20,9,107.0,0,17.816666666666666,0.9047619047619048,0.39166666666666666,0.06327975129999999,0.11298767747,0.174011002,5.35,0.0
B.Robinson,RB,ATL,72,61,431.0,1,-0.5109243697478991,8.591596638655462,0.8470588235294118,0.14079245094117646,-0.014440921647058824,0.20108003094117646,5.986111111111111,0.013888888888888888
B.Robinson,RB,WAS,30,24,181.0,0,-1.5846153846153848,9.012820512820513,0.8500000000000001,0.07640350446153846,-0.011648483215384614,0.10645131576923077,6.033333333333333,0.0
B.Strange,TE,JAX,53,40,411.0,2,6.307142857142857,6.3173659673659674,0.713095238095238,0.114328271,0.08716148707142857,0.23250544535714285,7.754716981132075,0.03773584905660377
B.Thomas,WR,JAX,133,87,1282.0,10,11.662316604963664,6.4524276377217555,0.6639881360469595,0.2545206382352941,0.36976301664705885,0.6406150570588235,9.639097744360901,0.07518796992481203
C.Austin,WR,PIT,60,37,573.0,4,13.690740740740742,3.829411764705882,0.6046296296296296,0.12807381033333332,0.2065503452777778,0.3366959608333333,9.55,0.06666666666666667
