team,rating
TB,55.9
PIT,51.6
GB,53.5
WAS,51.9
TEN,51.9
SEA,54.7
HOU,51.5
ATL,52.5
NYJ,50.8
LA,56.7
LV,53.9
KC,56.0
BAL,54.8
LAC,54.4
NE,51.9
BUF,53.8
ARI,52.7
CHI,51.0
CAR,50.4
NO,50.8
NYG,50.5
MIN,57.6
CLE,52.0
SF,57.2
JAX,52.4
IND,52.5
DET,57.6
PHI,55.3
MIA,52.8
DEN,51.4
DAL,55.7
CIN,56.9
